English,CEFR,gender,word,wordAudio,region,definition,sentenceAudio,example,sentenceTranslation,oldSentenceToBeDeleted
spark,B2,feminine,chispa,,,Partícula incandescente producida por fuego o electricidad.,,Una chispa encendió todo el combustible.,A spark ignited all the fuel.,
"cool, cocky",B2,adjective,chulo,,,"Que resulta atractivo o llamativo, a veces con un matiz presuntuoso.",,"Ese chico es muy chulo, pero simpático.","That guy is really cocky, but nice.",
suck,B2,verb,chupar,,,Succionar con los labios.,,El bebé empezó a chupar su dedo pulgar.,The baby started sucking his thumb.,
cycle,B2,masculine,ciclo,,,Serie repetida de hechos que se suceden de manera periódica.,,El ciclo escolar comienza en septiembre y termina en junio.,The school cycle starts in September and ends in June.,
certain,B2,determiner,cierto,,,Que es verdadero o indudable.,,Cierto tipo de comida no me sienta bien.,A certain type of food doesn’t sit well with me.,
deer,B2,masculine,ciervo,,,"Mamífero rumiante de cornamenta ramificada, semejante al venado.",,Vimos un ciervo cruzando la carretera.,We saw a deer crossing the road.,
electrical tape,B2,feminine,cinta aisladora,,,Cinta adhesiva usada como aislante eléctrico.,,Necesito cinta aisladora para reparar el cable.,I need electrical tape to repair the cable.,
treadmill,B2,feminine,cinta para correr,,,Máquina con cinta en movimiento para correr en un mismo lugar.,,Corro todos los días en la cinta para correr.,I run every day on the treadmill.,
conveyor belt,B2,feminine,cinta transportadora,,,Dispositivo con cinta móvil que transporta objetos de un punto a otro.,,La cinta transportadora mueve las maletas en el aeropuerto.,The conveyor belt moves the suitcases at the airport.,
circular,B2,adjective,circular,,,Que tiene forma de círculo o que se mueve en círculo.,,La estructura tiene una forma circular perfecta.,The structure has a perfect circular shape.,
circumference,B2,feminine,circunferencia,,,Línea cerrada cuyos puntos están a la misma distancia del centro.,,La circunferencia del círculo debe calcularse con precisión para el experimento.,The circumference of the circle must be calculated precisely for the experiment.,
circumstance,B2,feminine,circunstancia,,,Situación o condición que rodea un hecho.,,"En esta circunstancia, es mejor mantener la calma.","In this circumstance, it’s better to stay calm.",
surgery,B2,feminine,cirugía,,,Intervención médica para tratar enfermedades mediante operaciones.,,La cirugía fue un éxito gracias al equipo médico.,The surgery was a success thanks to the medical team.,
"quotation, citation",B2,feminine,citación,,,Documento que obliga a alguien a presentarse en un lugar y tiempo determinados.,,Recibí una citación para declarar como testigo.,I received a summons to testify as a witness.,
"cite, schedule",B2,verb,citar,,,Convocar a alguien oficialmente o mencionarlo como ejemplo.,,El profesor va a citar a los alumnos para una reunión.,The teacher is going to schedule a meeting with the students.,
citrus,B2,masculine,cítrico,,,"Fruto de plantas como el limón, la naranja o la mandarina.",,El limón es un cítrico muy utilizado en la cocina.,The lemon is a citrus fruit widely used in cooking.,
citizenship,B2,feminine,ciudadanía,,,Conjunto de derechos y deberes que corresponden a los habitantes de un país.,,La ciudadanía exige más transparencia por parte de sus representantes.,The citizens demand more transparency from their representatives.,
civil,B2,adjective,civil,,,Relacionado con los ciudadanos o con la vida en sociedad civil.,,El derecho civil protege a todos los ciudadanos.,Civil law protects all citizens.,
civilization,B2,feminine,civilización,,,"Conjunto de costumbres, conocimientos y manifestaciones de una sociedad.",,La civilización romana dejó una huella profunda en Europa.,Roman civilization left a deep mark on Europe.,
civilized,B2,adjective,civilizado,,,"Que muestra respeto, educación y buenas maneras.",,Un comportamiento civilizado facilita la convivencia en cualquier sociedad.,Civilized behavior makes coexistence easier in any society.,
clearly,B2,adverb,claramente,,,De manera clara y comprensible.,,Explicó claramente los objetivos del proyecto.,He clearly explained the project objectives.,
classic,B2,adjective,clásico,,,Que pertenece o se ajusta a un modelo tradicional o antiguo.,,Ese cuadro es un clásico del arte contemporáneo.,That painting is a classic of contemporary art.,
classification,B2,feminine,clasificación,,,Acción de ordenar personas o cosas según criterios determinados.,,La clasificación se basa en el nivel de dificultad.,The classification is based on the level of difficulty.,
classify,B2,verb,clasificar,,,Ordenar o disponer por clases o categorías.,,Vamos a clasificar los documentos por fecha.,Let’s classify the documents by date.,
nail,B2,verb,clavar,,,Introducir un clavo u objeto puntiagudo en una superficie mediante golpes.,,Voy a clavar el cuadro en la pared.,I’m going to nail the picture to the wall.,
climatic,B2,adjective,climático,,,Relacionado con el clima.,,El cambio climático genera fenómenos climáticos extremos.,Climate change generates extreme weather events.,
code,B2,masculine,código,,,Conjunto de normas o símbolos que representan información.,,Cada ciudadano debe respetar el código civil en su totalidad.,Every citizen must respect the civil code in its entirety.,
coherence,B2,feminine,coherencia,,,Conexión lógica y relación entre ideas o hechos.,,El texto carece de coherencia entre los párrafos.,The text lacks coherence between paragraphs.,
coherent,B2,adjective,coherente,,,Que mantiene una relación lógica y bien estructurada.,,Su discurso fue claro y coherente.,His speech was clear and coherent.,
coincidence,B2,feminine,coincidencia,,,Situación en la que dos o más hechos suceden al mismo tiempo por azar.,,Fue una coincidencia muy extraña.,It was a very strange coincidence.,
cushion,B2,masculine,cojín,,,Almohada pequeña usada como apoyo.,,Colocó el cojín detrás de la espalda para estar más cómodo.,He placed the cushion behind his back to be more comfortable.,
collective,B2,adjective,colectivo,,,Que pertenece o se refiere a un grupo de personas.,,El acuerdo fue fruto de un esfuerzo colectivo de varias organizaciones.,The agreement was the result of a collective effort by several organizations.,
be placed,B2,verb,colocarse,,,Ponerse en un lugar o adoptar cierta posición.,,El cuadro se colocó en el centro de la sala.,The painting was placed in the center of the room.,
colonization,B2,feminine,colonización,,,Acción y efecto de establecer colonias en un territorio.,,La colonización europea cambió la historia del continente americano.,European colonization changed the history of the American continent.,
colonize,B2,verb,colonizar,,,Establecer colonias en un lugar.,,Quisieron colonizar nuevas tierras en África.,They wanted to colonize new lands in Africa.,
"colored, reddish",B2,adjective,colorado,,,De color rojo o rojizo.,,Sus mejillas se pusieron coloradas por la vergüenza.,His cheeks turned red from embarrassment.,
commentator,B2,noun,comentarista,,,Persona que comenta o analiza hechos en medios de comunicación o en público.,,El comentarista explicó bien cada jugada del partido.,The commentator explained every play of the match well.,
edible,B2,adjective,comestible,,,Que se puede comer.,,Esa planta no es comestible y puede ser peligrosa.,That plant is not edible and can be dangerous.,
commission,B2,feminine,comisión,,,Grupo de personas encargado de un asunto específico.,,La comisión presentará su informe mañana.,The commission will present its report tomorrow.,
comfortably,B2,adverb,cómodamente,,,De forma confortable o sin incomodidad.,,Estaban sentados cómodamente en el sofá.,They were sitting comfortably on the couch.,
shared,B2,adjective,compartido,,,Que es usado por varias personas en común.,,El piso compartido requiere normas claras de convivencia.,The shared apartment requires clear rules for cohabitation.,
competition,B2,feminine,competición,,SP,Competencia deportiva o de otra índole.,,La competición fue muy intensa este año.,The competition was very intense this year.,
complex,B2,adjective,complejo,,,Que tiene muchas partes o aspectos difíciles de entender.,,Es un tema complejo que requiere una explicación detallada.,It’s a complex topic that requires detailed explanation.,
complement,B2,verb,complementar,,,Añadir algo que complete otra cosa.,,El postre complementa muy bien la cena.,The dessert complements the dinner very well.,
complement,B2,masculine,complemento,,,Elemento que completa o mejora algo.,,Ese cinturón es un buen complemento para el vestido.,That belt is a good complement to the dress.,
complication,B2,feminine,complicación,,,Problema añadido que dificulta una situación.,,Hubo una complicación durante la operación.,There was a complication during the operation.,
complicate,B2,verb,complicar,,,Hacer que algo resulte más difícil.,,No quiero complicar más la situación.,I don’t want to complicate the situation any further.,
component,B2,masculine,componente,,,Parte que forma parte de un todo mayor.,,Este componente es esencial para el funcionamiento del motor.,This component is essential for the engine’s operation.,
compose,B2,verb,componer,,,Crear o formar una obra uniendo diferentes partes o elementos.,,El músico va a componer una canción para la película.,The musician is going to compose a song for the film.,
understandable,B2,adjective,comprensible,,,Que puede entenderse sin dificultad.,,El texto es claro y comprensible.,The text is clear and understandable.,
verify,B2,verb,comprobar,,,Revisar o verificar la exactitud o veracidad de algo.,,Voy a comprobar si la puerta está cerrada.,I’m going to verify if the door is closed.,
compromise,B2,verb,comprometer,,,Comprometerse en una obligación o acuerdo.,,No quiero comprometer mi palabra sin estar seguro.,I don’t want to compromise my word without being sure.,
commitment,B2,masculine,compromiso,,,"Obligación o acuerdo asumido; también, situación que compromete.",,Asumió el compromiso de entregar el proyecto a tiempo pese a las dificultades.,He made a commitment to deliver the project on time despite the difficulties.,
communal,B2,adjective,comunal,,,Que pertenece o está destinado a la comunidad.,,El proyecto tiene un objetivo claramente comunal.,The project has a clearly communal objective.,
communicative,B2,adjective,comunicativo,,,Que se comunica con facilidad o promueve la comunicación.,,Es una persona muy comunicativa y abierta.,She is a very communicative and open person.,
communion,B2,feminine,comunión,,,Sacramento cristiano que simboliza la unión con Dios mediante la eucaristía.,,Participó en la ceremonia de comunión de su sobrina.,He took part in his niece’s communion ceremony.,
communism,B2,masculine,comunismo,,,Doctrina política y económica que defiende la propiedad colectiva y la ausencia de clases sociales.,,Estudiamos el comunismo en la clase de historia.,We studied communism in history class.,
communist,B2,masculine,comunista,,,Persona que sigue o defiende el comunismo.,,El líder comunista dio un discurso ante miles de personas.,The communist leader gave a speech before thousands of people.,
community-oriented,B2,adjective,comunitario,,,Relacionado con la comunidad o con su organización.,,Trabaja en una organización comunitaria sin ánimo de lucro.,He works in a nonprofit community organization.,
"conceive, imagine",B2,verb,concebir,,,Formar una idea en la mente; concebir un plan o pensamiento.,,No puedo concebir un futuro sin arte.,I can’t conceive of a future without art.,
concentrated,B2,adjective,concentrado,,,Que está muy enfocado en una tarea o idea.,,El café concentrado tiene un sabor mucho más fuerte y aromático.,Concentrated coffee has a much stronger and more aromatic flavor.,
concentrate,B2,verb,concentrar,,,Dirigir la atención o los esfuerzos hacia algo.,,Necesito concentrar toda mi atención en esta tarea importante.,I need to concentrate all my attention on this important task.,
shell,B2,feminine,concha,,,Cubierta dura de algunos moluscos.,,En la playa encontré una concha muy bonita.,On the beach I found a very pretty shell.,
concrete,B2,adjective,concreto,,,"Que es preciso, determinado y real, no abstracto.",,Necesito un ejemplo concreto para entender la regla.,I need a concrete example to understand the rule.,
"compete, contest",B2,verb,concursar,,,Participar en un concurso o competición.,,Quiero concursar en un programa de televisión.,I want to compete on a television show.,
conditional,B2,adjective,condicional,,,Que depende de una condición para cumplirse.,,La oración tiene una estructura condicional.,The sentence has a conditional structure.,
season,B2,verb,condimentar,,,Añadir especias o condimentos a una comida para mejorar su sabor.,,Es importante condimentar bien la carne.,It’s important to season the meat well.,
seasoning,B2,masculine,condimento,,,"Sustancia, generalmente especia, que se añade a un alimento para sazonarlo.",,Este condimento le da mucho sabor.,This seasoning gives it a lot of flavor.,
condom,B2,masculine,condón,,,Objeto de látex u otro material usado como método anticonceptivo y de protección.,,Es importante usar condón para protegerse.,It’s important to use a condom for protection.,
confidential,B2,adjective,confidencial,,,Que se mantiene en secreto o reservado.,,La información es confidencial y no debe compartirse.,The information is confidential and must not be shared.,
configuration,B2,feminine,configuración,,,Disposición y organización de elementos en un sistema.,,La configuración del sistema debe revisarse antes de usarlo.,The system configuration must be reviewed before using it.,
configure,B2,verb,configurar,,,Establecer la organización de un sistema o aparato.,,Vamos a configurar la impresora para que funcione en red.,We are going to configure the printer so it works on the network.,
comfort,B2,masculine,confort,,,Bienestar material o comodidad.,,Este hotel ofrece mucho confort a los huéspedes.,This hotel offers a lot of comfort to guests.,
comfortable,B2,adjective,confortable,,,Que ofrece comodidad.,,La habitación es amplia y confortable.,The room is spacious and comfortable.,
confrontation,B2,feminine,confrontación,,,Enfrentamiento entre dos o más partes.,,La confrontación entre los equipos fue inevitable.,The confrontation between the teams was inevitable.,
confront,B2,verb,confrontar,,,Hacer frente a alguien o a algo.,,Ella decidió confrontar sus miedos con valentía.,She decided to confront her fears with courage.,
commemoration,B2,feminine,conmemoración,,,Acto de recordar o celebrar solemnemente un hecho o a una persona.,,Organizaron una conmemoración por el aniversario.,They organized a commemoration for the anniversary.,
"touching, moving",B2,adjective,conmovedor,,,Que provoca emoción profunda o conmueve.,,El final de la película fue realmente conmovedor.,The ending of the film was truly moving.,
acquaintance,B2,masculine,conocido,,,Persona conocida pero que no es necesariamente amiga.,,Ese conocido me saludó en la calle pero no recordé su nombre.,That acquaintance greeted me on the street but I didn’t remember his name.,
conquest,B2,feminine,conquista,,,Acción de conquistar un territorio o pueblo.,,La conquista del territorio duró varios años.,The conquest of the territory lasted several years.,
conqueror,B2,masculine,conquistador,,,Persona que conquista.,,El conquistador llegó con sus tropas al amanecer.,The conqueror arrived with his troops at dawn.,
conquer,B2,verb,conquistar,,,Tomar posesión de un lugar o someterlo.,,Los romanos lograron conquistar gran parte de Europa.,The Romans managed to conquer a large part of Europe.,
conscious,B2,adjective,consciente,,,Que tiene conocimiento claro de lo que hace o piensa.,,Está consciente después del accidente.,He is conscious after the accident.,
consequence,B2,feminine,consecuencia,,,Resultado que se sigue necesariamente de una causa.,,La falta de información puede tener una consecuencia grave.,Lack of information can have serious consequences.,
consent,B2,masculine,consentimiento,,,Aceptación o autorización para realizar algo.,,El consentimiento es esencial en cualquier relación.,Consent is essential in any relationship.,
conservation,B2,feminine,conservación,,,Acción de mantener algo en buen estado.,,La conservación del medio ambiente es fundamental.,The conservation of the environment is essential.,
conservative,B2,adjective,conservador,,,Que defiende las tradiciones y prefiere cambios lentos.,,Mi abuelo tiene ideas muy conservadoras en política.,My grandfather has very conservative ideas in politics.,
"with him, with her",B2,pronoun,consigo,,,Forma pronominal que indica compañía con uno mismo.,,Se llevó los documentos consigo.,He took the documents with him.,
consistent,B2,adjective,consistente,,,Que mantiene firmeza o coherencia.,,Necesitamos un enfoque más consistente en el proyecto.,We need a more consistent approach in the project.,
consist,B2,verb,consistir,,,Estar formado o compuesto por algo.,,El éxito puede consistir en pequeños logros diarios.,Success can consist of small daily achievements.,
constant,B2,adjective,constante,,,Que se mantiene sin cambios durante un periodo de tiempo.,,Necesitamos una presencia constante para supervisar el proyecto.,We need a constant presence to supervise the project.,
constantly,B2,adverb,constantemente,,,De forma continua y sin interrupción.,,El niño pregunta constantemente porque tiene mucha curiosidad.,The child asks constantly because he is very curious.,
constitution,B2,feminine,constitución,,,Ley fundamental que organiza un Estado.,,La constitución garantiza los derechos de los ciudadanos.,The constitution guarantees citizens’ rights.,
consumption,B2,masculine,consumo,,,Acción de gastar bienes o recursos para satisfacer necesidades.,,El consumo de azúcar debe ser moderado.,Sugar consumption should be moderate.,
contagious,B2,adjective,contagioso,,,Que puede transmitirse de un organismo a otro; que se propaga fácilmente.,,"El virus es altamente contagioso, por lo que recomiendan aislarse hasta dejar de presentar síntomas.","The virus is highly contagious, so they recommend self-isolating until you no longer show symptoms.",
contemporary,B2,adjective,contemporáneo,,,Que pertenece a la misma época que otra persona o cosa.,,Ese escritor es considerado un autor contemporáneo muy influyente.,That writer is considered a very influential contemporary author.,
context,B2,masculine,contexto,,,Circunstancias que rodean un hecho o situación.,,Es importante entender el contexto histórico.,It’s important to understand the historical context.,
contextual,B2,adjective,contextual,,,Relacionado con el contexto de algo.,,Este análisis es puramente contextual.,This analysis is purely contextual.,
continuity,B2,feminine,continuidad,,,Carácter de lo que se mantiene sin interrupción.,,El director quiere asegurar la continuidad del proyecto.,The director wants to ensure the continuity of the project.,
outline,B2,masculine,contorno,,,Línea que marca el límite de una figura o territorio.,,El contorno del dibujo está bien definido.,The outline of the drawing is well defined.,
contraction,B2,feminine,contracción,,,Contracción de un músculo u órgano.,,Hubo una contracción en el mercado laboral.,There was a contraction in the labor market.,
password,B2,feminine,contraseña,,,Palabra secreta que permite el acceso a un sistema o lugar.,,Olvidé mi contraseña del correo electrónico.,I forgot my email password.,
convenience,B2,feminine,conveniencia,,,Carácter útil u oportunidad favorable de algo.,,La conveniencia del lugar lo hace muy popular.,The convenience of the location makes it very popular.,
convenient,B2,adjective,conveniente,,,Que resulta adecuado o apropiado.,,Es un horario conveniente para todos.,It’s a convenient schedule for everyone.,
"become, convert",B2,verb,convertir,,,"Transformar o cambiar de forma, estado o condición.",,El calor intenso puede convertir el hielo en agua.,Intense heat can turn ice into water.,
become,B2,verb,convertirse,,,Transformarse en otra cosa o adoptar otra forma.,,La fiesta se convirtió en un problema para los vecinos.,The party turned into a problem for the neighbors.,
conviction,B2,feminine,convicción,,,Certeza firme en una idea o creencia.,,Tiene una fuerte convicción en sus ideas.,He has a strong conviction in his ideas.,
coexist,B2,verb,convivir,,,Vivir en compañía de otras personas compartiendo experiencias.,,Es difícil convivir con tantas personas.,It’s hard to coexist with so many people.,
cooperation,B2,feminine,cooperación,,,Acción de colaborar en una tarea común.,,La cooperación entre países es fundamental.,Cooperation between countries is essential.,
cooperate,B2,verb,cooperar,,,Colaborar con otros en una tarea común.,,Los equipos deben cooperar para lograr el objetivo.,Teams must cooperate to achieve the goal.,
courage,B2,masculine,coraje,,,Valor para afrontar situaciones difíciles.,,Mostró un gran coraje al enfrentarse a sus miedos públicamente.,He showed great courage by facing his fears publicly.,
mountain range,B2,feminine,cordillera,,,Conjunto de montañas alineadas.,,La cordillera está cubierta de nieve en invierno.,The mountain range is covered in snow in winter.,
corporation,B2,feminine,corporación,,,Entidad de gran tamaño con fines empresariales o administrativos.,,La corporación internacional abrió una sede en Madrid.,The international corporation opened an office in Madrid.,
corporal,B2,adjective,corporal,,,Relacionado con el cuerpo humano.,,Se evaluó el impacto corporal tras semanas de entrenamiento intensivo.,They evaluated the bodily impact after weeks of intensive training.,
"strap, belt, band",B2,feminine,correa,,,"Tira flexible de cuero, tela u otro material que sirve para sujetar, atar o colgar algo.",,La correa del reloj está rota.,The watch strap is broken.,
corruption,B2,feminine,corrupción,,,Práctica deshonesta en el uso del poder.,,La corrupción debilita las instituciones públicas.,Corruption weakens public institutions.,
court,B2,feminine,corte,,,Decisión judicial o lugar donde se celebran juicios.,,La corte dictó una sentencia justa.,The court issued a fair ruling.,
courteous,B2,adjective,cortés,,,"Que muestra respeto, educación y buenas maneras.",,El camarero fue muy cortés con nosotros.,The waiter was very courteous with us.,
courtesy,B2,feminine,cortesía,,,Demostración de respeto y amabilidad en el trato; acto atento.,,"Por pura cortesía, respondió a todas las preguntas de la prensa.","Out of sheer courtesy, he answered all the questions from the press.",
crop,B2,feminine,cosecha,,,Conjunto de productos recogidos de la tierra.,,La cosecha de este año fue mejor que la anterior.,This year’s crop was better than the previous one.,
rib,B2,feminine,costilla,,,Cada uno de los huesos del costado del pecho.,,Se rompió una costilla en el accidente.,He broke a rib in the accident.,
daily,B2,adjective,cotidiano,,,Que ocurre diariamente o con frecuencia.,,Mi vida cotidiana está llena de pequeñas rutinas.,My daily life is full of little routines.,
growing,B2,adjective,creciente,,,Que aumenta progresivamente.,,La creciente demanda ha obligado a aumentar la producción.,The growing demand has forced an increase in production.,
growth,B2,masculine,crecimiento,,,Aumento en tamaño o cantidad de algo.,,El crecimiento económico del país ha sido constante en los últimos años.,The country’s economic growth has been steady in recent years.,
belief,B2,feminine,creencia,,,Convicción o fe que alguien tiene en algo.,,Su creencia en la justicia inspiró a muchos a seguirla.,Her belief in justice inspired many to follow her.,
credible,B2,adjective,creíble,,,Que resulta digno de confianza porque ofrece veracidad.,,Su explicación parecía muy creíble porque coincidía con los hechos.,His explanation seemed very believable because it matched the facts.,
servant,B2,masculine,criado,,,Persona al servicio de otra en tareas domésticas.,,El criado servía el té con una elegancia admirable.,The servant served tea with admirable elegance.,
"rear, raise",B2,verb,criar,,,Alimentar o educar a un niño o a un animal.,,Decidieron criar gallinas ecológicas en su jardín.,They decided to raise organic chickens in their garden.,
creature,B2,feminine,criatura,,,"Ser vivo, especialmente un niño pequeño o un animal.",,Aquella criatura parecía sacada de un cuento fantástico.,That creature looked like it came out of a fantasy story.,
criterion,B2,masculine,criterio,,,Regla o norma de juicio que sirve para tomar decisiones.,,No estoy de acuerdo con ese criterio.,I don’t agree with that criterion.,
critical,B2,adjective,crítico,,,Que analiza con rigor o señala defectos.,,El informe crítico analizó las deficiencias del sistema.,The critical report analyzed the system's deficiencies.,
crustacean,B2,masculine,crustáceo,,,"Animal marino con caparazón duro, como un cangrejo o una langosta.",,El crustáceo vive en el fondo del mar.,The crustacean lives at the bottom of the sea.,
quality,B2,feminine,cualidad,,,Propiedad o característica positiva de algo o alguien.,,La paciencia es una cualidad importante.,Patience is an important quality.,
qualified,B2,adjective,cualificado,,,Que tiene formación o preparación específica.,,Buscan a una persona cualificada para el puesto.,They’re looking for a qualified person for the position.,
"any, anyone",B2,masculine,cualquiera,,,Cualquier persona o cosa sin especificar.,,"Puedes preguntar a cualquiera, seguro te ayudarán.","You can ask anyone, they'll surely help you.",
blade,B2,feminine,cuchilla,,,Instrumento metálico con filo usado para afeitar o cortar.,,Ten cuidado con la cuchilla de afeitar.,Be careful with the razor blade.,
horn,B2,masculine,cuerno,,,Prolongación dura en la cabeza de ciertos animales.,,El toro embistió provocando que el cuerno quedara doblado.,"The bull charged, causing the horn to bend.",
leather,B2,masculine,cuero,,,Piel tratada de animales usada como material.,,El cinturón estaba hecho de cuero genuino.,The belt was made of genuine leather.,
question,B2,verb,cuestionar,,,Poner en duda o someter a examen algo.,,Comenzó a cuestionar las decisiones del comité directivo.,He started to question the decisions of the management committee.,
carefully,B2,adverb,cuidadosamente,,,Con atención y precaución.,,Leyó cuidadosamente las instrucciones antes de empezar.,He read the instructions carefully before starting.,
"ass, butt",B2,masculine,culo,,,Parte posterior del cuerpo humano.,,Me duele el culo después de sentarme tantas horas.,My butt hurts after sitting for so many hours.,
"cultured, educated",B2,adjective,culto,,,Persona con amplios conocimientos adquiridos mediante la lectura o el estudio.,,Es un hombre culto que ha leído muchísima literatura clásica.,He is a cultured man who has read a great deal of classical literature.,
"worship, cult",B2,masculine,culto,,,Rito o ceremonia de carácter religioso hacia una divinidad u objeto sagrado.,,En la antigüedad existía un culto al sol en muchas civilizaciones.,In antiquity there was sun worship in many civilizations.,
culturally,B2,adverb,culturalmente,,,"De manera vinculada con las tradiciones, las artes y la vida intelectual.",,España es un país culturalmente muy diverso.,Spain is a very culturally diverse country.,
compliment,B2,masculine,cumplido,,,Elogio o muestra de reconocimiento hacia alguien.,,Te agradezco el cumplido sobre mi presentación.,Thank you for the compliment about my presentation.,
cure,B2,feminine,cura,,,Persona consagrada en la Iglesia; también tratamiento de cortesía para sacerdotes.,,La búsqueda de una cura para esa enfermedad sigue en curso.,The search for a cure for that disease is ongoing.,
"cure, heal",B2,verb,curar,,,Devolver la salud a alguien o reparar un daño.,,Los médicos lograron curar al paciente con el tratamiento nuevo.,The doctors managed to heal the patient with the new treatment.,
curious,B2,adjective,curioso,,,Que siente gran interés por saber o conocer.,,Soy muy curioso y siempre hago muchas preguntas en clase.,I’m very curious and always ask lots of questions in class.,
dagger,B2,feminine,daga,,,Arma blanca corta y puntiaguda semejante a una espada pequeña.,,El soldado llevaba una daga en el cinturón.,The soldier carried a dagger on his belt.,
"lady, dame",B2,feminine,dama,,,Mujer de modales distinguidos.,,La dama vestía un elegante traje de la época.,The lady wore an elegant dress from the era.,
"harmful, damaging",B2,adjective,dañino,,,Que causa daño.,,Fumar es un hábito muy dañino.,Smoking is a very harmful habit.,
beforehand,B2,adverb,de antemano,,,Con anticipación.,,Gracias por avisarme de antemano sobre la reunión.,Thanks for letting me know about the meeting beforehand.,
immediately,B2,adverb,de inmediato,,,En el mismo momento.,,Salieron de inmediato al escuchar el ruido.,They left immediately upon hearing the noise.,
by no means,B2,adverb,de ninguna manera,,,"De manera categórica, en ningún caso.",,De ninguna manera aceptaremos esas condiciones.,We will by no means accept those conditions.,
"anyway, anways, regardless",B2,adverb,de todos modos,,,"Sea como sea, sin importar las circunstancias.",,"No creo que funcione, pero de todos modos lo intentaré.","I don’t think it will work, but I’ll try it anyway.",
debate,B2,verb,debatir,,,Discutir sobre un tema exponiendo opiniones opuestas.,,Es importante debatir estos temas con argumentos sólidos y respeto.,It’s important to debate these topics with solid arguments and respect.,
weakness,B2,feminine,debilidad,,,Falta de fuerza física o moral.,,Su mayor debilidad es la falta de confianza en sí mismo.,His greatest weakness is his lack of self-confidence.,
decent,B2,adjective,decente,,,Que cumple con lo correcto y moralmente aceptable.,,Buscó un lugar decente donde pasar la noche.,He looked for a decent place to spend the night.,
disappoint,B2,verb,decepcionar,,,Causar tristeza o desilusión a alguien.,,Su actitud me llegó a decepcionar mucho.,His attitude really disappointed me.,
eighteenth,B2,adjective,decimoctavo,,,Que ocupa el lugar número dieciocho en un orden.,,Hoy celebramos el decimoctavo cumpleaños de mi prima.,Today we’re celebrating my cousin’s eighteenth birthday.,
fourteenth,B2,adjective,decimocuarto,,,Que ocupa el lugar número catorce en un orden.,,El decimocuarto capítulo fue el más interesante.,The fourteenth chapter was the most interesting.,
nineteenth,B2,adjective,decimonoveno,,,Que ocupa el lugar número diecinueve en un orden.,,El decimonoveno siglo trajo muchos cambios.,The nineteenth century brought many changes.,
fifteenth,B2,adjective,decimoquinto,,,Que ocupa el lugar número quince en un orden.,,Llegó en el decimoquinto lugar de la carrera.,He finished in fifteenth place in the race.,
seventeenth,B2,adjective,decimoséptimo,,,Que ocupa el lugar número diecisiete en un orden.,,El decimoséptimo participante ya ha salido al escenario.,The seventeenth participant has already taken the stage.,
sixteenth,B2,adjective,decimosexto,,,Que ocupa el lugar número dieciséis en un orden.,,Estamos en el decimosexto piso del hotel.,We are on the sixteenth floor of the hotel.,
thirteenth,B2,adjective,decimotercero,,,Que ocupa el lugar número trece en un orden.,,La respuesta está en el decimotercero párrafo.,The answer is in the thirteenth paragraph.,
decisive,B2,adjective,decisivo,,,Que resulta decisivo o determina un resultado.,,Tomaron una decisión decisiva para el futuro del país.,They made a decisive decision for the country’s future.,
declaration,B2,feminine,declaración,,,Manifestación formal de algo dicho o escrito.,,La declaración oficial fue transmitida por televisión.,The official declaration was broadcast on television.,
declare,B2,verb,declarar,,,Manifestar o comunicar oficialmente algo.,,El testigo tuvo que declarar ante el juez.,The witness had to declare before the judge.,
decrease,B2,verb,decrecer,,,"Disminuir en tamaño, cantidad o intensidad.",,La población de la ciudad empezó a decrecer después de la crisis.,The city’s population began to decrease after the crisis.,
dedication,B2,feminine,dedicación,,,Esfuerzo y entrega a una tarea o actividad.,,Su dedicación al proyecto fue tan intensa que trabajaba incluso los fines de semana.,Her dedication to the project was so intense that she worked even on weekends.,
dedication,B2,feminine,dedicatoria,,,"Palabras escritas para mostrar aprecio, afecto o reconocimiento al inicio de un libro, carta u obra.",,El libro tiene una dedicatoria muy emotiva.,The book has a very moving dedication.,
"definitely, definitively",B2,adverb,definitivamente,,,De manera concluyente y sin duda.,,"Definitivamente, fue la mejor decisión que pudimos tomar.",It was definitely the best decision we could have made.,
defraud,B2,verb,defraudar,,,Fallar a la confianza o expectativas de alguien.,,Intentaron defraudar al gobierno con facturas falsas.,They tried to defraud the government with fake invoices.,
"drop, let fall",B2,verb,dejar caer,,,Hacer que algo pase de arriba hacia abajo sin sostenerlo.,,"Sin querer, dejé caer mi móvil al suelo.","Unintentionally, I dropped my phone on the floor.",
"front, forward",B2,adjective,delantero,,,Jugador que ocupa una posición adelantada en un equipo.,,El jugador delantero marcó el gol de la victoria.,The forward scored the winning goal.,
delegation,B2,feminine,delegación,,,Grupo de personas que representa a una institución o país en una reunión o acto oficial.,,La delegación llegó a la conferencia internacional.,The delegation arrived at the international conference.,
delegate,B2,verb,delegar,,,Encargar a otra persona una tarea o responsabilidad propia.,,El jefe decidió delegar tareas en su equipo.,The boss decided to delegate tasks to his team.,
delicate,B2,adjective,delicado,,,Que requiere cuidado por ser frágil o sensible.,,Esa tela es muy delicada y requiere un lavado especial.,That fabric is very delicate and requires special washing.,
delight,B2,feminine,delicia,,,Placer muy grande producido por algo.,,Disfruté de la delicia que preparó el chef local.,I enjoyed the delight prepared by the local chef.,
crime,B2,masculine,delito,,,Acción ilegal castigada por la ley.,,Cometer un delito puede tener consecuencias muy graves.,Committing a crime can have very serious consequences.,
